Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied Move,Actual Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,EtfHoldingsList,MarketCap
SFNC,Simmons First Ntl,18.2,0.0294,501007,33.0,1/24/2024,0.0655,0.0557,-0.2099,0.3651,0.6442,0.1328,KBE - KRE - IWM,2277426176.0
CFFN,Capitol Federal Finl,6.11,0.0321,887029,76.0,1/24/2024,0.0816,-0.0066,0.0921,-0.216,0.029,-0.311,KRE - IWM,817108672.0
SYBT,Stock Yards Bancorp,46.85,0.0238,67396,13.0,1/24/2024,0.067,-0.0356,-0.2121,0.0047,0.0426,-0.0331,KRE - IWM,1373829376.0
BLFY,Blue Foundry Bancorp,8.99,0.0181,60519,6.0,1/24/2024,0.0794,0.0383,-0.4299,-0.1829,0.1491,-0.5099,IWM,220344448.0
BUSE,First Busey,23.36,0.0201,138020,4.0,1/23/2024,0.077,0.0201,-0.1263,-0.0407,0.049,-0.1905,KRE - IWM,1290848000.0
FVCB,Fvcbankcorp,11.76,0.0325,26794,97.0,1/23/2024,0.0965,-0.0082,-0.1667,-0.3326,-0.1435,-0.5217,IWM,209353296.0
VBTX,Veritex Holdings,20.21,0.0217,310814,13.0,1/23/2024,0.0801,-0.0262,0.0397,0.0116,0.2025,-0.2457,KRE - IWM,1097522560.0
RFIL,RF Industries Ltd.,3.22,0.0489,8252,17.0,1/23/2024,0.1024,0.0166,-0.2399,-0.0332,0.1656,-0.2472,,33305168.0
LRN,Stride,62.55,0.0404,708667,1122.0,1/23/2024,0.1271,-0.0205,-0.5374,0.2874,1.2489,-0.6311,IWM,2711325952.0
RNST,Renasant,31.67,0.0246,205248,14.0,1/23/2024,0.0711,0.0074,-0.0612,0.3676,1.0334,-0.0137,KBE - KRE - IWM,1776462208.0
BFST,Business First Bancshares,21.81,0.0201,50157,4.0,1/23/2024,0.0659,-0.0158,-0.1088,0.3097,1.6065,-0.3374,IWM,552771392.0
NBHC,National Bank Holdings,34.56,0.0225,165408,42.0,1/23/2024,0.0775,0.0362,-0.1323,0.3263,1.3046,-0.1594,KRE - IWM,1305025024.0
FCBC,First Community Bankshares,33.65,0.02,32329,5.0,1/23/2024,0.0679,0.0017,-0.0755,0.1405,0.6137,-0.0844,IWM,622605760.0
TRMK,Trustmark,27.12,0.0184,267122,22.0,1/23/2024,0.0701,-0.0132,-0.0097,0.4734,0.7388,0.2155,KBE - KRE - IWM,1655635968.0
CCNE,CNB Financial,20.66,0.0157,47142,7.0,1/23/2024,0.0692,0.0416,0.0096,-0.0244,0.2821,-0.2401,IWM,431703712.0
QCRH,QCR Hldgs,57.59,0.0215,48202,6.0,1/23/2024,0.0633,0.0673,0.2478,-0.0123,0.1855,-0.2352,KRE - IWM,964589312.0
PFC,Premier Financial Corp.,20.19,0.0171,115913,13.0,1/23/2024,0.0724,-0.0686,-0.1645,0.2695,0.9717,-0.069,KRE - IWM,721315648.0
EWBC,East West Bancorp,69.41,0.0035,1061006,499.0,1/23/2024,0.0651,0.0278,-0.0941,-0.1115,0.641,-0.5445,KBE - KRE,9719275520.0
HAFC,Hanmi Financial,15.47,0.041,189583,19.0,1/23/2024,0.0735,-0.0941,0.0407,0.1407,0.6042,-0.1423,KRE - IWM,469803168.0
WSBC,Wesbanco,28.57,0.0142,153043,9.0,1/23/2024,0.0643,0.0289,-0.1462,0.1237,0.4537,-0.1082,KBE - KRE - IWM,1695774080.0
WNEB,Western New England Bancorp,8.03,0.0063,50425,1.0,1/23/2024,0.0853,0.0034,-0.0171,0.0169,0.2807,-0.2677,,173984480.0
BHB,Bar Harbor Bankshares,25.57,0.0232,32369,28.0,1/23/2024,0.0834,-0.0235,0.1317,-0.0843,-0.0019,-0.1844,IWM,387948032.0
ORRF,Orrstown Finl Servs,26.32,0.0166,26608,72.0,1/23/2024,0.0906,0.0207,-0.0713,-0.0729,0.122,-0.2682,IWM,279318112.0
NBTB,NBT Bancorp,34.27,0.0202,158334,37.0,1/23/2024,0.0735,-0.0329,-0.0743,0.1027,0.7909,-0.2081,KRE - IWM,1613680896.0
CVLG,Covenant Logistics Group - Class A,51.71,0.0094,51874,58.0,1/23/2024,0.0835,0.0194,-0.0068,0.1576,1.2103,-0.3811,IWM,669475904.0
TFIN,Triumph Financial,79.92,0.0352,132551,447.0,1/23/2024,0.0715,-0.0364,0.0624,0.1141,0.5597,-0.1412,KBE - KRE - IWM,1862328576.0
EBMT,Eagle Bancorp Montana,13.07,0.0211,9932,,1/23/2024,,-0.049,,,,,,104779368.0
FOR,Forestar Group Common,32.35,0.0208,170955,34.0,1/23/2024,0.0823,-0.0673,0.0166,0.222,0.306,0.174,VNQ - IWM,1614190848.0
AUB,Atlantic Union Bankshares,33.6,0.0182,315167,14.0,1/23/2024,0.0819,-0.0145,-0.1396,0.3227,0.4884,0.085,KBE - KRE - IWM,2519533824.0
CCBG,Capital City Bank Group,28.67,0.0217,30809,4.0,1/23/2024,0.0819,0.0222,-0.1911,-0.0915,-0.0037,-0.1794,IWM,487110176.0
ONB,Old National Bancorp,16.15,0.0164,1880578,19.0,1/23/2024,0.0625,-0.0142,-0.1489,0.0635,0.6178,-0.3384,KBE - KRE - IWM,4725473792.0
PEBO,Peoples Bancorp,28.48,0.0226,104636,10.0,1/23/2024,0.0706,-0.0403,0.0782,-0.1872,0.0005,-0.3552,KRE - IWM,1005763776.0
CBU,Community Bank System,44.88,0.0191,300328,16.0,1/23/2024,0.0759,-0.0314,0.1727,0.0922,0.5897,-0.3726,KBE - KRE - IWM,2393315840.0
NRUC,National Rural Utilities Cooperative Finance 5.500% Subordinated Notes Due 2064 (Subordinated Deferrable Interest Notes),24.87,-0.0012,17509,,1/23/2024,,-0.0006,,,,,,
MMYT,Makemytrip Limited -,59.28,0.0301,537973,409.0,1/23/2024,0.1025,-0.0026,-0.3018,-0.1905,0.2269,-0.3974,,6465361408.0
SASR,Sandy Spring Bancorp,23.0,0.0132,160270,8.0,1/23/2024,0.087,-0.0305,-0.2558,0.086,0.2131,-0.0566,KRE - IWM,1032588672.0
AMNB,American National Bankshares,45.21,0.0176,20104,13.0,1/23/2024,0.0709,-0.0133,-0.0568,0.1043,0.3859,-0.1126,IWM,480301088.0
ASRV,Ameriserv Financial,2.94,0.0103,9084,6.0,1/23/2024,0.0852,-0.0195,0.0504,-0.1491,-0.0188,-0.3162,,50412976.0
WBS,Webster Finl,46.74,0.025,1288812,259.0,1/23/2024,0.0769,-0.0231,-0.2968,-0.2097,0.22,-0.5553,KBE - KRE,8041897984.0
TRST,Trustco Bank Ny,27.92,0.0265,70813,8.0,1/22/2024,0.0588,-0.009,0.4672,-0.0841,0.1555,-0.2311,KRE - IWM,531150080.0
CBNK,Capital Bancorp,20.75,0.0083,24198,4.0,1/22/2024,0.0749,-0.0039,0.288,-0.0417,-0.015,-0.0683,IWM,288892512.0
TSBK,Timberland Bancorp,26.66,-0.0022,16856,7.0,1/22/2024,0.0625,-0.0258,-0.1139,0.0628,0.2067,-0.2545,IWM,216498080.0
YS,YS Biopharma Co. Ltd. -,0.419,0.0,119621,,1/22/2024,,-0.0055,,,,,,38991384.0
KARO,Karooooo Ltd. -,23.52,-0.0321,8633,,1/22/2024,,0.008,,,,,,727970112.0
AGYS,Agilysys,90.51,0.0234,162308,78.0,1/22/2024,0.1091,0.0009,-0.396,0.2923,1.0905,-0.3913,IWM,2475387136.0
RBB,RBB Bancorp,17.87,0.0235,48729,15.0,1/22/2024,0.0797,0.0199,0.4959,0.2022,0.3934,0.0,IWM,332546048.0
IBTX,Independent Bank Group,45.32,0.0164,237666,26.0,1/22/2024,0.0933,-0.0385,-0.0206,0.0122,0.1566,-0.1912,KBE - KRE - IWM,1870895744.0
BVFL,BV Financial,12.92,-0.0023,22660,,1/22/2024,,0.0107,,,,,,146961248.0
GSBC,Great Southern Bancorp,50.93,0.0113,23709,10.0,1/22/2024,0.0724,-0.0491,-0.1713,-0.0092,0.3302,-0.193,KRE - IWM,600734656.0
HBCP,Home Bancorp,37.32,0.007,13063,4.0,1/22/2024,0.0821,0.0169,-0.0865,-0.1794,0.0103,-0.5431,IWM,304667616.0
CFB,Crossfirst Bankshares,13.63,0.0318,144102,24.0,1/22/2024,0.0713,0.0044,-0.0143,0.5719,1.3857,-0.2196,KRE - IWM,672448128.0
SMBK,Smartfinancial,22.0,0.0157,29117,3.0,1/22/2024,0.0774,-0.0134,0.1062,0.4146,1.3147,-0.1433,IWM,373918368.0
EFSC,Enterprise Finl Servs,39.91,0.0132,122096,72.0,1/22/2024,0.0641,-0.0377,-0.0561,0.0784,0.4458,-0.1459,KRE - IWM,1493272576.0
BOH,Bank Of Hawaii,61.72,0.0098,415535,360.0,1/22/2024,0.0807,-0.0001,-0.1285,-0.0129,0.2729,-0.1611,KBE - KRE - IWM,2451848704.0
MNSB,Mainstreet Bancshares,18.52,0.0209,16209,,1/22/2024,,-0.0054,,,,,IWM,139295664.0
SSBK,Southern States Bancshares,26.75,0.0233,19161,,1/22/2024,,0.0241,,,,,IWM,236281792.0
NWBI,Northwest Bancshares,11.91,0.0145,664284,55.0,1/22/2024,0.0612,0.0479,0.0297,0.1231,0.2331,0.0081,KRE - IWM,1512913024.0
PEBK,Peoples Bancorp Of Nc,26.45,0.0232,5082,,1/22/2024,,-0.001,,,,,,146387504.0
OVLY,Oak Valley Bancorp (Ca),25.21,0.0265,13352,,1/19/2024,,0.043,,,,,IWM,209078320.0
BANR,Banner,44.49,0.0088,190896,9.0,1/18/2024,0.0373,-0.0102,0.3634,0.2123,0.5599,-0.23,KBE - KRE - IWM,1527992704.0
OCFC,Oceanfirst Financial Corp.,15.73,0.0308,294802,47.0,1/18/2024,0.0511,0.0622,-0.0291,-0.0745,0.3695,-0.6506,KRE - IWM,934690112.0
BANF,Bancfirst,88.72,0.0209,58176,10.0,1/18/2024,0.0263,0.0008,0.0086,0.3181,1.1707,-0.1335,KRE - IWM,2922371072.0
MCB,Metropolitan Bank Holding Corp.,42.5,0.0131,104203,155.0,1/18/2024,0.0589,-0.0217,-0.0231,-0.0021,0.6617,-0.5921,KRE - IWM,470166016.0
INDB,Independent Bank Corp.,52.94,0.0065,240554,8.0,1/18/2024,0.0285,-0.0133,-0.6659,0.4667,0.6607,0.1023,KBE - KRE - IWM,2269706752.0
FNB,F N B,13.15,0.0139,1978085,86.0,1/18/2024,0.0344,0.0207,-0.1051,-0.1134,0.0829,-0.3712,KBE - KRE,4718490624.0
WABC,Westamerica Bancorporation,45.1,0.0096,140780,35.0,1/18/2024,0.022,-0.0146,0.0477,0.5947,1.1191,0.0959,KRE - IWM,1201824768.0
BIRK,Birkenstock Holding PLC,47.86,-0.0029,1171812,1291.0,1/18/2024,0.0952,-0.0772,-0.0888,,,,,8989333504.0
TCBI,Texas Capital Bancshares,59.27,-0.0017,466592,66.0,1/18/2024,0.0458,0.0243,0.4884,-0.0257,0.1526,-0.2887,KBE - KRE - IWM,2799791104.0
IIIN,Insteel Industries,36.56,0.0164,104480,31.0,1/18/2024,0.0594,-0.0529,-0.403,0.2678,0.9449,-0.3303,IWM,711134080.0
SIFY,Sify Technologies Limited - American Depository Shares Each Represented By One Equity Share,1.29,-0.0227,78164,39.0,1/18/2024,0.0465,-0.1114,-0.3422,-0.1186,0.1409,-0.4401,,239517664.0
CBSH,Commerce Bancshares,51.16,0.0137,488213,23.0,1/18/2024,0.0193,0.0214,0.4261,-0.0823,0.2955,-0.5063,KBE - KRE,6659804160.0
WTFC,Wintrust Finl,93.87,0.0136,389303,23.0,1/17/2024,0.0254,0.0266,-0.0021,-0.203,-0.0238,-0.3462,KBE - KRE,5748938752.0
NVEC,Nve,83.88,0.0377,32443,,1/17/2024,,0.0981,,,,,IWM,405411488.0
WMPN,William Penn Bancorporation,12.09,0.0342,40206,,1/17/2024,,0.005,,,,,,115475408.0
FUL,H.B. Fuller,77.31,0.0143,308494,43.0,1/17/2024,0.0418,0.0173,-0.0563,0.1198,0.4189,-0.1113,IWM,4190817792.0
SNV,Synovus Finl,35.97,0.0181,1476442,572.0,1/17/2024,0.0396,0.0462,0.071,0.1447,1.4188,-0.4831,KBE - KRE,5276989440.0
UNB,Union Bankshares,29.21,0.0003,6511,,1/17/2024,,-0.0116,,,,,,131720304.0
GMGI,Golden Matrix Group,3.35,0.0404,38467,53.0,1/17/2024,0.0797,0.0664,0.2158,-0.0049,0.3127,-0.2122,,122663352.0
CTBI,Community Trust Bancorp,40.13,0.0149,41132,7.0,1/17/2024,0.0222,-0.0151,-0.506,0.2102,0.4184,-0.0898,KRE - IWM,722333568.0
NUZE,Nuzee,1.75,0.0542,44441,,1/17/2024,,-0.079,,,,,,2243038.0
PLBC,Plumas Bancorp,36.58,0.0133,10317,,1/17/2024,,-0.0043,,,,,IWM,214797776.0
WAFD,Wafd,28.21,0.0133,319517,28.0,1/16/2024,0.0221,-0.0413,0.2725,0.0726,0.8169,-0.4915,KBE - KRE - IWM,1812625024.0
PNFP,Pinnacle Finl Partners,81.63,0.0098,467167,75.0,1/16/2024,0.0473,0.0051,-0.2718,0.5604,1.4954,-0.3499,KBE - KRE,6264565248.0
TWN,Taiwan,38.2,0.0095,14108,,1/16/2024,,-0.0121,,,,,,283725568.0
HWC,Hancock Whitney,43.11,0.0167,558640,20.0,1/16/2024,0.0564,0.0047,-0.5084,-0.1434,0.247,-0.4262,KBE - KRE - IWM,3710305280.0
FULT,Fulton Financial,15.52,0.0131,1118292,64.0,1/16/2024,0.0406,-0.009,-0.2063,-0.3164,0.197,-0.7222,KBE - KRE - IWM,2542191360.0
NIC,Nicolet Bankshares,76.88,0.0271,33168,4.0,1/16/2024,0.0297,0.0636,0.2922,0.5161,1.1407,-0.086,KRE - IWM,1145066880.0
PAPL,Pineapple Financial,1.44,0.0323,375339,,1/16/2024,,-0.006,,,,,,10342049.0
PRGS,Progress Software,57.14,-0.0042,298829,448.0,1/16/2024,0.0584,0.0548,0.1526,-0.2089,-0.0622,-0.4257,IWM,2507314944.0
BFC,Bank First,85.01,0.0222,20003,,1/16/2024,,0.0448,,,,,IWM,881204352.0
IBKR,Interactive Brokers Group - Class A,98.06,0.0282,1180856,1527.0,1/16/2024,0.0423,0.0231,-0.1144,-0.1211,0.0961,-0.5382,,10489625600.0
FBK,FB Financial,36.49,0.0218,161419,43.0,1/16/2024,0.0475,-0.0394,0.0525,0.0184,0.4328,-0.2137,KRE - IWM,1709517952.0
MBWM,Mercantile Bank,38.05,0.0237,49539,13.0,1/16/2024,0.0529,-0.019,-0.3079,0.5583,1.6016,-0.0917,KRE - IWM,613581376.0
SOTK,Sono-Tek,5.79,0.0194,8300,,1/16/2024,,0.0687,,,,,,91120128.0
GNTY,Guaranty Bancshares,29.72,0.0238,14666,7.0,1/16/2024,0.0503,0.0455,0.171,-0.0718,0.1211,-0.4233,IWM,342650496.0
LEDS,Semileds,1.26,-0.0079,14387,,1/12/2024,,-0.0033,,,,,,8157720.0
UNTY,Unity Bancorp,27.23,0.0111,15906,4.0,1/12/2024,0.0573,0.0112,-0.1172,0.1859,0.449,-0.031,IWM,273871424.0
BBCP,Concrete Pumping Holdings,8.18,0.0124,68570,12.0,1/11/2024,0.1102,-0.0038,-0.3674,0.2229,0.4873,-0.1007,IWM,439655072.0
TSRI,TSR,8.6599,0.0,2505,,1/11/2024,,-0.0258,,,,,,18564330.0
UONEK,Urban One  - Class D,3.39,-0.0029,30780,14.0,1/11/2024,0.0928,0.0,-0.1743,-0.0183,0.1807,-0.1847,IWM,165855488.0
UONE,Urban One  - Class A,3.6,-0.011,39116,114.0,1/11/2024,0.1292,-0.0298,-0.1754,0.1066,0.7197,-0.1973,IWM,176129712.0
NTIC,Northern Technologies International,13.6,-0.0007,12441,,1/11/2024,,-0.0545,,,,,,128215352.0
KBH,KB Home,60.9,0.004,1174530,2572.0,1/10/2024,0.0601,-0.0123,-0.7109,-0.2026,0.0574,-0.3729,IWM - ITB,4620301824.0
VOXX,Voxx International - Class A,9.0,0.0601,41456,52.0,1/9/2024,0.1426,-0.1235,-0.0684,0.5009,1.6522,-0.2169,IWM,203381632.0
PKE,Park Aerospace Corp.,14.6,0.0021,54509,37.0,1/9/2024,0.0619,0.0113,-0.2977,-0.0104,0.4711,-0.2166,IWM,295653088.0
ETWO,E2open Parent Holdings Inc.Class A,3.94,0.0207,2669435,362.0,1/9/2024,0.1902,0.0859,-0.6426,0.2449,1.1568,-0.1351,IWM,1205637248.0
AZZ,Azz,69.54,0.0348,138184,117.0,1/9/2024,0.0599,-0.0042,-0.3063,-0.0649,-0.0109,-0.1983,IWM,1743845504.0
PSMT,Pricesmart,78.86,0.0072,214466,68.0,1/9/2024,0.07,0.0491,-0.3281,0.2811,0.8649,-0.4233,XRT - IWM,2406561280.0
SNX,TD Synnex,101.14,0.0033,626995,152.0,1/9/2024,0.059,0.0025,-0.5485,-0.1909,-0.0467,-0.3088,,8871910400.0
MSM,MSC Industrial Direct Company,98.55,0.0017,415576,179.0,1/9/2024,0.0413,-0.0313,-0.1524,-0.0929,0.2018,-0.2807,,5559141888.0
NEOG,Neogen,16.55,0.0178,1809374,268.0,1/9/2024,0.0813,-0.0837,0.698,-0.058,0.6447,-0.4841,IWM,3576582144.0
JEF,Jefferies Financial Group,40.84,0.0131,1105979,450.0,1/8/2024,0.05,-0.0204,-0.3415,-0.2265,-0.1713,-0.3093,,8655491072.0
SEED,Origin Agritech Limited -,1.98,0.0,31197,,1/8/2024,,0.0,,0.0757,0.0757,0.0757,,12466191.0
STAA,Staar Surgical Company,30.16,-0.0063,778102,526.0,1/8/2024,0.1116,0.1152,0.4154,-0.0692,0.2159,-0.1782,IWM,1472334976.0
CMC,Commercial Metals Company,54.11,0.0058,1092315,973.0,1/8/2024,0.0636,0.0749,0.2524,0.1483,0.5728,-0.223,XME - IWM,6297743872.0
BREA,Brera Holdings PLC - Class B,1.07,0.0388,69075,,1/8/2024,,-0.0175,,,,,,12476201.0
HURC,Hurco Cos,24.45,0.0049,18714,,1/5/2024,,0.0567,,,,,,161732848.0
FC,Franklin Covey Company,40.23,0.0229,74241,149.0,1/4/2024,0.1716,0.0328,-0.5794,0.5798,1.2715,-0.0288,IWM,534107168.0
NWTN,NWTN - Class B,6.56,0.0171,20900,,1/4/2024,,-0.0026,,,,,,1877376896.0
RDUS,Schnitzer Steel,24.86,0.0122,147589,65.0,1/4/2024,0.0776,-0.0769,0.1676,-0.401,-0.401,-0.401,XME - IWM,692605312.0
SMPL,Simply Good Foods Company,35.17,-0.0198,572663,381.0,1/4/2024,0.0954,0.0783,-0.0983,-0.0341,0.2531,-0.2733,IWM,3503068160.0
RGP,Resources Connection,13.22,0.0,230193,43.0,1/3/2024,0.098,-0.0241,-0.2113,0.2888,1.1155,-0.0835,IWM,445156128.0
CALM,Cal-Maine Foods,55.56,0.0011,779019,1784.0,1/3/2024,0.0856,0.0262,-0.3629,0.1165,0.7414,-0.3007,IWM,2719121920.0
SLP,Simulations Plus,41.48,0.0182,104524,37.0,1/3/2024,0.1102,-0.05,-0.3614,0.0438,1.0009,-0.3999,IWM,828185536.0
BDL,Flanigan's Enterprises,25.4,-0.0043,2967,,1/3/2024,,0.0008,,,,,,47209632.0
APWC,Asia Pacific Wire & Cable Limited  - Common Shares Par Value .01 Per Share,1.325,0.0343,4178,,1/2/2024,,0.1016,,,,,,27316506.0
AFB,Alliancebernstein Nat Muni Income,10.825,-0.0008,78014,,12/29/2023,,0.0046,,,,,,311163968.0
DTCK,Davis Commodities Limited -,1.02,0.0099,310067,,12/29/2023,,0.0833,,,,,,24990632.0
PT,Pintec Technology Hldgs,1.06,-0.0185,96970,,12/28/2023,,-0.0177,,,,,,9198637.0
IH,Ihuman American Depositary Shares Each Representing Five Class A,2.29,0.0,4501,,12/28/2023,,0.0193,,,,,,122113056.0
YGMZ,Mingzhu Logistics Hldgs,0.47,0.0,583119,,12/27/2023,,-0.0207,,,,,,10791332.0
RETO,Reto Eco-Solutions - Common Shares,0.394,0.0155,130810,,12/27/2023,,-0.079,,,,,,14756040.0
BLIN,Bridgeline Digital,0.8225,0.003,27865,,12/27/2023,,-0.0246,,,,,,8568484.0
SNTG,Sentage Hldgs,2.49,0.004,894659,,12/22/2023,,0.0112,,,,,,6985260.0
NEGG,Newegg Commerce - Common Shares,0.8331,0.0479,1011148,1417.0,12/22/2023,0.0903,0.0513,0.0325,-0.3457,-0.3457,-0.3457,,313195456.0
APM,Aptorum Group Limited - Class A,1.46,0.0504,5314,,12/22/2023,,0.1095,,,,,,7565276.0
BHAT,Blue Hat Interactive Entertainment Technology -,1.05,0.0194,266660,,12/22/2023,,-0.0727,,,,,,61318192.0
LMNR,Limoneira Co,17.97,0.0113,62908,81.0,12/21/2023,0.1359,0.0688,-0.3325,-0.2403,0.0147,-0.4887,IWM,323080992.0
AVO,Mission Produce,10.56,0.0164,149942,156.0,12/21/2023,0.1357,0.0658,-0.1898,-0.0661,0.4129,-0.4817,IWM,746941440.0
AIR,Aar Corp.,63.25,0.031,244604,184.0,12/21/2023,0.0831,-0.102,0.3083,-0.2631,0.0245,-0.5785,IWM,2245540608.0
WILC,G. Willi-Food Intl,9.67,-0.0143,2467,,12/21/2023,,-0.0214,,,,,,134094088.0
APOG,Apogee Enterprises,55.12,0.0145,145328,35.0,12/21/2023,0.0824,0.0307,-0.1937,-0.325,-0.2524,-0.4198,IWM,1216917248.0
MLKN,Millerknoll,27.48,0.0066,562981,218.0,12/20/2023,0.1445,-0.031,-0.357,0.1458,1.0712,-0.386,IWM,2001045632.0
ISSC,Innovative Solns,8.19,-0.0061,18302,12.0,12/20/2023,0.0988,0.0312,-0.0787,0.2063,0.953,-0.0873,,142890848.0
OCC,Optical Cable,2.74,0.0224,6234,,12/20/2023,,-0.0143,,,,,,21628686.0
WGO,Winnebago Industries,68.06,0.0163,515209,1275.0,12/20/2023,0.0854,-0.0558,-0.0594,-0.2251,-0.1197,-0.3011,IWM,1989930752.0
SCS,Steelcase,12.94,0.0062,820002,375.0,12/19/2023,0.1267,0.1094,0.0542,0.0355,0.321,-0.1223,IWM,1478028672.0
NISN,Nisun Intl Enterprise Development Group Co - Class A Common Shares,4.225,-0.0035,81206,,12/19/2023,,0.0186,,,,,,16974342.0
EPAC,Enerpac Tool Group Corp.,30.84,-0.0172,327829,84.0,12/19/2023,0.0933,0.0211,-0.3812,0.1522,0.5848,-0.0955,IWM,1669349760.0
SHIM,Shimmick,6.06,-0.0049,41444,,12/19/2023,,-0.0292,,,,,,154492912.0
BIMI,Bimi Intl Medical,2.7095,0.0225,22653,,12/19/2023,,-0.0775,,,,,,37942784.0
OGI,Organigram Holdings - Common Shares,2.28,0.0507,1149171,338.0,12/19/2023,0.1191,-0.0305,-0.0341,0.031,0.4388,-0.2125,,214444960.0
ECDA,Ecd Automotive Design,0.98,0.0,274795,,12/19/2023,,-0.0337,,,,,,31261668.0
ARKR,Ark Restaurants Corp.,14.15,-0.0302,2644,,12/18/2023,,-0.0625,,,,,,50998820.0
JOB,Gee Group,0.4536,0.0598,170586,,12/18/2023,,-0.0513,,,,,,49484312.0
EBF,Ennis,20.18,0.0025,77886,9.0,12/18/2023,0.0503,-0.0594,0.1152,0.1459,0.2259,0.0677,IWM,521714144.0
COE,51 Talk Online Education,7.0,0.016,4547,,12/18/2023,,-0.0251,,,,,,39867996.0
VTAK,Catheter Precision,0.4108,-0.0242,59525,,12/18/2023,,-0.0417,,,,,,2886560.0
ENZ,Enzo Biochem Common ($0.01 Par Value),1.35,0.0,97776,64.0,12/15/2023,0.1494,0.015,-0.6986,0.3495,1.649,-0.3859,,68161192.0
BANX,Stonecastle Financial,18.45,-0.0032,16562,15.0,12/15/2023,0.0714,0.0078,-0.0465,-0.1578,-0.0258,-0.3639,,121063368.0
BRN,Barnwell Industries,2.31,-0.0379,14702,,12/15/2023,,0.009,,,,,,23078696.0
AIRE,Realpha Tech Corp.,1.34,-0.0219,1042334,,12/15/2023,,-0.0726,,,,,,59123600.0
MOGU,Mogu American Depositary Shares (Each  Representing 25 Class A Ordinary Shares),2.03,-0.0073,2095,,12/15/2023,,0.0,,,,,,16678155.0
VALU,Value Line,42.03,-0.028,3420,,12/15/2023,,0.0121,,,,,IWM,396347776.0
RFL,Rafael Holdings Class B,1.84,0.011,45024,40.0,12/14/2023,,0.0,,,,,,45092220.0
SCHL,Scholastic,38.76,0.0094,199125,73.0,12/14/2023,0.0918,-0.1162,0.1075,0.3434,0.7307,-0.2328,IWM,1158080512.0
YJ,Yunji - American Depository Shares,0.6394,0.0448,18021,,12/14/2023,,-0.0371,,,,,,12905631.0
MLEC,Moolec Science SA -,1.83,-0.0214,228062,,12/14/2023,,-0.0329,,,,,,78335848.0
STCN,Steel Connect,8.65,-0.0378,4664,,12/14/2023,,0.0408,,-0.0161,-0.0161,-0.0161,,54211536.0
KNOP,Knot Offshore Partners LP Common Units Representing Limited Partner Interests,5.74,-0.0017,102732,46.0,12/13/2023,0.0715,0.0939,0.077,0.016,0.5806,-0.2257,,200542736.0
VBNK,Versabank - Common Shares,11.3,0.0053,12624,,12/13/2023,,0.113,,,,,,293171936.0
REVG,Rev Group,17.33,0.0459,274908,124.0,12/13/2023,0.0965,0.0891,-0.2061,0.0266,0.4484,-0.3,IWM,1035265792.0
ICLK,Iclick Interactive Asia Group Limited - American Depositary Shares,3.81,-0.0052,38956,81.0,12/13/2023,0.0719,0.0053,,0.1585,0.1659,0.151,,37727980.0
CGNT,Cognyte Software Ltd. -,7.48,0.0013,388747,233.0,12/13/2023,0.1674,0.0122,-0.2742,0.1002,0.7173,-0.3342,,525977088.0
AERT,Aeries Technology - Class A Ordinary Share,2.44,-0.024,321443,,12/13/2023,,0.016,,,,,,38110360.0
MAMA,Mama'S Creations,4.4,-0.0023,359861,99.0,12/12/2023,0.0493,0.0386,-0.075,,,,,164773584.0
CREV,Carbon Revolution Public Limited Company -,16.8,0.0,20853,,12/12/2023,,-0.0759,,,,,,31503090.0
SST,System1 Class A,1.96,0.0426,163155,298.0,12/12/2023,0.1403,-0.1357,0.1178,-0.0179,0.1658,-0.2693,IWM,128680120.0
FEIM,Frequency Electronics,10.77,0.0151,34379,,12/12/2023,,-0.0338,,,,,,101404048.0
EPIX,Essa Pharma,10.43,-0.0019,200631,224.0,12/12/2023,0.0681,0.028,-0.219,-0.0247,0.0754,-0.1367,,460401984.0
AXR,Amrep,20.4,-0.0249,7421,,12/11/2023,,-0.0025,,,,,,107534704.0
ODC,Oil-Dri Of America,65.76,-0.0021,17394,,12/11/2023,,0.0979,,,,,IWM,478676864.0
ELAB,Elevai Labs,0.6625,0.0352,1554980,,12/11/2023,,-0.1019,,,,,,11480874.0
LXEO,Lexeo Therapeutics,16.54,-0.0172,125848,,12/11/2023,,-0.1294,,,,,,440717248.0
OCCI,Ofs Credit Company - Closed End,7.07,0.0129,139200,,12/11/2023,,-0.0104,,,,,,22940942.0
JZ,Jianzhi Education Technology Group Company Limited - American Depositary Shares,0.7,0.0,14955,,12/8/2023,,0.0546,,,,,,42388500.0
PPIH,Perma-Pipe Inlt Hldgs,8.2,0.0099,9200,6.0,12/8/2023,0.0978,0.1394,0.7341,-0.1384,-0.0527,-0.2408,,65226908.0
SGMA,Sigmatron Intl,3.3,0.0123,22166,,12/8/2023,,-0.1678,,,,,,20101250.0
MOMO,Hello Group  - American Depositary Shares,6.12,0.0,1226089,576.0,12/8/2023,0.1124,0.0959,-0.3127,0.3744,1.6547,-0.3134,,1155624832.0
SMAR,Smartsheet Class A,47.92,0.0336,1128118,913.0,12/7/2023,0.1219,-0.0163,-0.5775,0.0209,0.2675,-0.4728,,6529420800.0
